stop_id,stop_name,bus_route_numbers,bus_route_names,directions,route_direction_pairs,eastbound_southbound_routes,westbound_northbound_routes,route_count
1515,Royal York Rd at Kingsgrove Blvd,48; 73,48 - Rathburn; 73 - Royal York,EASTBOUND; SOUTHBOUND,48:EASTBOUND; 73:SOUTHBOUND,48; 73,,2
1516,Royal York Rd at Kingsgrove Blvd,48; 73,48 - Rathburn; 73 - Royal York,WESTBOUND; NORTHBOUND,48:WESTBOUND; 73:NORTHBOUND,,48; 73,2
7002,Royal York Rd at La Rose Ave,73,73 - Royal York,SOUTHBOUND,73:SOUTHBOUND,73,,1
7003,Royal York Rd at La Rose Ave,73,73 - Royal York,NORTHBOUND,73:NORTHBOUND,,73,1
7005,Royal York Rd at Lawrence Ave West,73; 405,73 - Royal York; 405 - Etobicoke,SOUTHBOUND; EASTBOUND,73:SOUTHBOUND; 405:EASTBOUND,73; 405,,2
1517,Royal York Rd at Lynngrove Ave,48; 73,48 - Rathburn; 73 - Royal York,WESTBOUND; NORTHBOUND,48:WESTBOUND; 73:NORTHBOUND,,48; 73,2
7013,Royal York Rd at Mimico Ave,76,76 - Royal York South,NORTHBOUND,76:NORTHBOUND,,76,1
7015,Royal York Rd at Newcastle St,76; 80,76 - Royal York South; 80 - Queensway,SOUTHBOUND; EASTBOUND,76:SOUTHBOUND; 80:EASTBOUND,76; 80,,2
7014,Royal York Rd at Newcastle St - Mimico GO Station,76,76 - Royal York South,NORTHBOUND,76:NORTHBOUND,,76,1
7017,Royal York Rd at Norseman St,15; 76; 315,15 - Evans; 76 - Royal York South; 315 - Evans-Brown's Line,EASTBOUND; NORTHBOUND,15:EASTBOUND; 76:NORTHBOUND; 315:EASTBOUND,315,15; 76,3
7016,Royal York Rd at Norseman St North Side,15; 76; 315,15 - Evans; 76 - Royal York South; 315 - Evans-Brown's Line,WESTBOUND; SOUTHBOUND,15:WESTBOUND; 76:SOUTHBOUND; 315:WESTBOUND,15; 76,315,3
7018,Royal York Rd at North Dr North Side,73,73 - Royal York,SOUTHBOUND,73:SOUTHBOUND,73,,1
7019,Royal York Rd at Oakfield Dr North Side,15; 76; 315,15 - Evans; 76 - Royal York South; 315 - Evans-Brown's Line,WESTBOUND; SOUTHBOUND,15:WESTBOUND; 76:SOUTHBOUND; 315:WESTBOUND,15; 76,315,3
7029,Royal York Rd at Renault Cres North Side,73; 405,73 - Royal York; 405 - Etobicoke,SOUTHBOUND; EASTBOUND,73:SOUTHBOUND; 405:EASTBOUND,73; 405,,2
7024,Royal York Rd at Romney Rd,73,73 - Royal York,SOUTHBOUND,73:SOUTHBOUND,73,,1
7026,Royal York Rd at Royaleigh Ave,73; 352; 405,73 - Royal York; 352 - Lawrence West; 405 - Etobicoke,SOUTHBOUND; EASTBOUND,73:SOUTHBOUND; 352:EASTBOUND; 405:EASTBOUND,73; 352; 405,,3
7025,Royal York Rd at Royaleigh Ave South Side,73; 352; 405,73 - Royal York; 352 - Lawrence West; 405 - Etobicoke,NORTHBOUND; WESTBOUND,73:NORTHBOUND; 352:WESTBOUND; 405:WESTBOUND,,73; 352; 405,3
7028,Royal York Rd at Sinclair St South Side,15; 76; 80; 315,15 - Evans; 76 - Royal York South; 80 - Queensway; 315 - Evans-Brown's Line,EASTBOUND; NORTHBOUND; WESTBOUND,15:EASTBOUND; 76:NORTHBOUND; 80:WESTBOUND; 315:EASTBOUND,315,15; 76; 80,4
1518,Royal York Rd at Strath Humber Crt,48; 73,48 - Rathburn; 73 - Royal York,EASTBOUND; SOUTHBOUND,48:EASTBOUND; 73:SOUTHBOUND,48; 73,,2
7030,Royal York Rd at Summitcrest Dr,73,73 - Royal York,NORTHBOUND,73:NORTHBOUND,,73,1
7031,Royal York Rd at Symons St,76,76 - Royal York South,NORTHBOUND,76:NORTHBOUND,,76,1
6990,Royal York Rd at Tenby St,15; 76; 315,15 - Evans; 76 - Royal York South; 315 - Evans-Brown's Line,WESTBOUND; SOUTHBOUND,15:WESTBOUND; 76:SOUTHBOUND; 315:WESTBOUND,15; 76,315,3
7022,Royal York Rd at The Queensway,15; 76; 315,15 - Evans; 76 - Royal York South; 315 - Evans-Brown's Line,WESTBOUND; SOUTHBOUND,15:WESTBOUND; 76:SOUTHBOUND; 315:WESTBOUND,15; 76,315,3
7023,Royal York Rd at The Queensway,15; 76; 315,15 - Evans; 76 - Royal York South; 315 - Evans-Brown's Line,EASTBOUND; NORTHBOUND,15:EASTBOUND; 76:NORTHBOUND; 315:EASTBOUND,315,15; 76,3
